x,y,z
0.4385058919,-0.0206118788,1.2899010009
0.4336924611,-0.0190165410,1.2899908612
0.4288171550,-0.0174368702,1.2901324574
0.4238857506,-0.0158772496,1.2903277161
0.4189067272,-0.0143422538,1.2905762213
0.4138908788,-0.0128365295,1.2908752522
0.4088508438,-0.0113646586,1.2912198913
0.4038005714,-0.0099310126,1.2916032005
-0.3469097534,-0.7987878643,0.9257866492
-0.3465705539,-0.7976451117,0.9232575613
-0.3461521546,-0.7964622024,0.9207588766
-0.3456918410,-0.7952605598,0.9182757795
-0.3452045665,-0.7940483453,0.9158025903
-0.3446955602,-0.7928280041,0.9133376914
-0.3441661350,-0.7915999681,0.9108809917
-0.3436160613,-0.7903644188,0.9084327769
-0.3430441583,-0.7891221744,0.9059932724
-0.3424480908,-0.7878752078,0.9035625418
-0.3418240150,-0.7866268429,0.9011405780
-0.3411664406,-0.7853815414,0.8987275486
-0.3404684354,-0.7841443347,0.8963241120
-0.3397221227,-0.7829201362,0.8939316632
-0.3389193164,-0.7817132040,0.8915523472
-0.3380520787,-0.7805268990,0.8891887100
-0.3371129505,-0.7793637104,0.8868428910
-0.3360945723,-0.7782253929,0.8845152691
-0.3349884585,-0.7771130309,0.8822025063
-0.3337828663,-0.7760268827,0.8798950413
-0.3324600576,-0.7749659323,0.8775743412
-0.3309937146,-0.7739271459,0.8752105562
-0.3293476490,-0.7729044989,0.8727615159
-0.3274769924,-0.7718879016,0.8701740442
-0.3253326360,-0.7708622187,0.8673882197
-0.3228688126,-0.7698066278,0.8643444995
-0.3200526675,-0.7686945695,0.8609927398
-0.3168738093,-0.7674944826,0.8573014096
-0.3133515174,-0.7661713933,0.8532649909
-0.3095376625,-0.7646892545,0.8489078133
-0.3055143619,-0.7630137626,0.8442833425
-0.3013866418,-0.7611152593,0.8394689611
-0.2972715174,-0.7589712917,0.8345572652
0.2810908023,0.5222789274,1.4156401059
0.2802992289,0.5174156763,1.4125059501
0.2793820117,0.5126327580,1.4094415859
0.2783306681,0.5079516408,1.4064564806
0.2771386702,0.5033899099,1.4035572410
0.2758016158,0.4989606267,1.4007476757
0.2743172486,0.4946721036,1.3980290557
0.2726853543,0.4905280398,1.3954005027
0.2709075654,0.4865279309,1.3928594319
0.2689871087,0.4826676579,1.3904019813
0.2669285277,0.4789401640,1.3880233764
0.2647374069,0.4753361397,1.3857182025
0.2624201155,0.4718446595,1.3834805741
0.2599835843,0.4684537324,1.3813042149
0.2574351186,0.4651507515,1.3791824720
0.2547822479,0.4619228446,1.3771082986
0.2520326101,0.4587571403,1.3750742378
0.2491938635,0.4556409726,1.3730724403
0.2462736242,0.4525620477,1.3710947374
0.2432794229,0.4495085988,1.3691327833
0.2402186804,0.4464695435,1.3671782669
0.2370986976,0.4434346569,1.3652231859
0.2339266595,0.4403947586,1.3632601624
0.2307096516,0.4373419072,1.3612827773
0.2274546841,0.4342695852,1.3592858929
0.2241687226,0.4311728550,1.3572659346
0.2208587187,0.4280484630,1.3552211057
0.2175316363,0.4248948737,1.3531515130
0.2141944659,0.4217122180,1.3510591912
0.2108542245,0.4185021513,1.3489480212
0.2075179326,0.4152676253,1.3468235471
0.2041925685,0.4120125868,1.3446927075
0.2008849972,0.4087416262,1.3425634998
0.2019480624,0.3657842251,2.0717046230
0.1995730913,0.3644723738,2.0713470435
0.1972365596,0.3630875760,2.0710382888
0.1949529365,0.3616149897,2.0707576086
0.1927260043,0.3600580416,2.0704865090
0.1905549827,0.3584238746,2.0702219174
0.1884374445,0.3567198099,2.0699686911
0.1863711981,0.3549521702,2.0697318148
0.1843552535,0.3531258705,2.0695123824
0.1823899342,0.3512445264,2.0693069031
0.1804763802,0.3493109163,2.0691085047
0.1786157453,0.3473275921,2.0689087613
0.1768083610,0.3452974535,2.0686993448
0.1750530737,0.3432241456,2.0684731626
0.1733468707,0.3411121879,2.0682249584
0.1716848051,0.3389667711,2.0679514899
0.1700601149,0.3367931459,2.0676514190
0.1684643362,0.3345954743,2.0673250209
0.1668871578,0.3323749768,2.0669737778
0.1653158061,0.3301272502,2.0665999129
0.1637339022,0.3278388487,2.0662059192
0.1621199914,0.3254836121,2.0657941551
0.1604462343,0.3230196909,2.0653665795
0.1586779491,0.3203885363,2.0649246902
0.1567746797,0.3175170778,2.0644696913
0.1546931862,0.3143237698,2.0640028608
0.1523922438,0.3107282403,2.0635260335
0.1498385652,0.3066631942,2.0630420713
0.1470127130,0.3020863765,2.0625551845
0.1439137178,0.2969901098,2.0620709948
0.1405613233,0.2914062995,2.0615962888
0.1369952866,0.2854057490,2.0611384863
0.1332718051,0.2790918578,2.0607049154
0.1294577425,0.2725899236,2.0603020285
-0.0753646491,-0.5186277385,1.7040749706
-0.0747977150,-0.5131469385,1.7019861180
-0.0742739085,-0.5077343120,1.6999715623
-0.0738033587,-0.5024002482,1.6980559527
-0.0733946948,-0.4971548183,1.6962592300
-0.0730547992,-0.4920067957,1.6945964404
-0.0727886519,-0.4869629228,1.6930777590
-0.0725992650,-0.4820274397,1.6917087031
-0.0724876982,-0.4772018669,1.6904905058
